creatorid,post_id,title,caption,likes,thumbnail_url,url,date_utc,typename,caption_hashtags,is_video
hydrationceo,C2zquj_rN25,,"Also you’ll NEVER catch me using a filter on any video of mine 😒 

#skinfluencer #influencer #thingsiwouldneverdo #contentcreator #skincare #skincarereview #reviews",2218,posts\2024-02-01_13-55-57_UTC.jpg,posts\2024-02-01_13-55-57_UTC.mp4,2024-02-01 13:55:57,GraphVideo,"['skinfluencer', 'influencer', 'thingsiwouldneverdo', 'contentcreator', 'skincare', 'skincarereview', 'reviews']",True
hydrationceo,C2xhV_yr91b,,"Expensive and overrated beauty products? Not on my watch 🦸‍♀️ 

#viralbeauty #viralmakeup #viralskincare #overhypedmakeup #saveyourmoney #sephoramakeup #sephoraskincare #sephora #makeuptok #skintok",5145,posts\2024-01-31_17-55-18_UTC.jpg,posts\2024-01-31_17-55-18_UTC.mp4,2024-01-31 17:55:18,GraphVideo,"['viralbeauty', 'viralmakeup', 'viralskincare', 'overhypedmakeup', 'saveyourmoney', 'sephoramakeup', 'sephoraskincare', 'sephora', 'makeuptok', 'skintok']",True
hydrationceo,C2vx66vLG4a,,"Extreme Cream is magic cream’s more affordable, sophisticated, fragrance-free (ok just better overall) sibling 😏 @innbeautyproject #innbeautypartner 

#extremecream #moisturizer #skincare #skintok #skincaretips #hydratingskincare #peptides #ceramides #skincare101 #magiccream #hydratingskincare",1742,posts\2024-01-31_01-41-42_UTC.jpg,posts\2024-01-31_01-41-42_UTC.mp4,2024-01-31 01:41:42,GraphVideo,"['innbeautypartner', 'extremecream', 'moisturizer', 'skincare', 'skintok', 'skincaretips', 'hydratingskincare', 'peptides', 'ceramides', 'skincare101', 'magiccream', 'hydratingskincare']",True
hydrationceo,C2vXE96r2Kb,,"A very chatty wash day grwm 🫧 

@theinkeylist salicylic acid hair pre-treatment
@livingproofinc clarifying detox shampoo
@kristinesshair extra gentle conditioner
@livingproofinc triple bond complex 
@dove scalp + hair therapy serum 
@theouai leave in conditioner 
@livingproofinc flex hairspray

#washday #hairwash #hairwashday #hairroutine #hairtutorial #hairstyling #haircare #hairproducts #grwm",1239,posts\2024-01-30_21-48-34_UTC.jpg,posts\2024-01-30_21-48-34_UTC.mp4,2024-01-30 21:48:34,GraphVideo,"['washday', 'hairwash', 'hairwashday', 'hairroutine', 'hairtutorial', 'hairstyling', 'haircare', 'hairproducts', 'grwm']",True
hydrationceo,C2ulb2OLG0p,,"The Summer Fridays lip oil is truly elite. Not sticky, super glossy, good color, and ACTUALLY hydrating like I’m low key mad at how much I like it 😩 

#summerfridayslipoil #summerfridays #lipoil #lipoilreview #lipoilswatch #lipoilgloss #hydratinglipoil #makeuptok #viralmakeup",12773,posts\2024-01-30_14-33-28_UTC.jpg,posts\2024-01-30_14-33-28_UTC.mp4,2024-01-30 14:33:28,GraphVideo,"['summerfridayslipoil', 'summerfridays', 'lipoil', 'lipoilreview', 'lipoilswatch', 'lipoilgloss', 'hydratinglipoil', 'makeuptok', 'viralmakeup']",True
hydrationceo,C2szpzgrlUk,,"Okay but can anyone point me in the direction of an actually black blush? 👀 🖤 

#blackblush #blush #viralblush #blushtrend #makeup #makeupreview #makeup #makeuptok #viralmakeup",6799,posts\2024-01-29_21-59-12_UTC.jpg,posts\2024-01-29_21-59-12_UTC.mp4,2024-01-29 21:59:12,GraphVideo,"['blackblush', 'blush', 'viralblush', 'blushtrend', 'makeup', 'makeupreview', 'makeup', 'makeuptok', 'viralmakeup']",True
hydrationceo,C2scTJkr2Zl,,"Microneedling is the MOST effective treatment I’ve ever tried, particularly for dark marks left after a big breakout 🤌✨ 

📍microneedling performed by my amazing esthi @livnolanesthetics at @redcarpetmedspa 

#microneedling #microneedlingbeforeandafter #hyperpigmentation #acne #acneproneskin #skincare #beforeandafter #acnebeforeandafter",2352,posts\2024-01-29_18-36-23_UTC.jpg,posts\2024-01-29_18-36-23_UTC.mp4,2024-01-29 18:36:23,GraphVideo,"['microneedling', 'microneedlingbeforeandafter', 'hyperpigmentation', 'acne', 'acneproneskin', 'skincare', 'beforeandafter', 'acnebeforeandafter']",True
hydrationceo,C2qCP77JcEc,,"This goes out to all my breakout besties 😉 @herocosmetics #heropartner 

#winterskincare #skincareroutine #skincare #acneprone #acneroutine",1262,posts\2024-01-28_20-09-04_UTC.jpg,posts\2024-01-28_20-09-04_UTC.mp4,2024-01-28 20:09:04,GraphVideo,"['heropartner', 'winterskincare', 'skincareroutine', 'skincare', 'acneprone', 'acneroutine']",True
hydrationceo,C2pceX8rxjC,,"Christening my millionth bottle of cosrx propolis light ampoule with a story about why I love it so much for acne-prone skin ⭐️ 

#cosrxpropolis #cosrxpropolisampoule #propolis #propolisskincare #skincare #acne #acnescars #acnemarks #hyperpigmentation #acneproneskin #skincare #skincaresecrets",3084,posts\2024-01-28_14-38-56_UTC.jpg,posts\2024-01-28_14-38-56_UTC.mp4,2024-01-28 14:38:56,GraphVideo,"['cosrxpropolis', 'cosrxpropolisampoule', 'propolis', 'propolisskincare', 'skincare', 'acne', 'acnescars', 'acnemarks', 'hyperpigmentation', 'acneproneskin', 'skincare', 'skincaresecrets']",True
hydrationceo,C2nw5zsr-AN,,"It’s covergirl yummy gloss in ‘my strawbooty’ 🍓 

#affordablemakeup #makeup #princesspeachlips #glossylips #lipoil #makeuphacks #juicylips #drugstoremakeup #drugstoremakeupmusthaves",1621,posts\2024-01-27_22-58-51_UTC.jpg,posts\2024-01-27_22-58-51_UTC.mp4,2024-01-27 22:58:51,GraphVideo,"['affordablemakeup', 'makeup', 'princesspeachlips', 'glossylips', 'lipoil', 'makeuphacks', 'juicylips', 'drugstoremakeup', 'drugstoremakeupmusthaves']",True
hydrationceo,C2m5xcRrzTr,,"I tried a TON of sunscreens last year and these are my honest opinions 🤔 

#sunscreen #sunscreenviral #elfsunscreen #firstaidbeautysunscreen #spf #spfreview #sunscreenreview #mineralspf #chemicalspf #skincare #skintips",2988,posts\2024-01-27_14-57-17_UTC.jpg,posts\2024-01-27_14-57-17_UTC.mp4,2024-01-27 14:57:17,GraphVideo,"['sunscreen', 'sunscreenviral', 'elfsunscreen', 'firstaidbeautysunscreen', 'spf', 'spfreview', 'sunscreenreview', 'mineralspf', 'chemicalspf', 'skincare', 'skintips']",True
hydrationceo,C2lLA0ZLH0C,,"You DON’T have to spend a ton of money to have nice hydrated skin (even if you’re super reactive)! ☺️ @theordinary #theordinary #theordinarypartner 

#redskin #sensitiveskin #skincare #skincareroutine #theordinaryskincare #skincaretips #skincare101 #skintok",2246,posts\2024-01-26_22-49-59_UTC.jpg,posts\2024-01-26_22-49-59_UTC.mp4,2024-01-26 22:49:59,GraphVideo,"['theordinary', 'theordinarypartner', 'redskin', 'sensitiveskin', 'skincare', 'skincareroutine', 'theordinaryskincare', 'skincaretips', 'skincare101', 'skintok']",True
hydrationceo,C2kxO8KpQkJ,,"Sunscreens are made to be difficult to remove, so oil UP 💦 

#sunscreen #skintips #skincare101 #beginnerskincare #spf #acneprone #acne #doublecleansing #oilcleansing #skincare #skincareroutine #cleanser #skintok",1699,posts\2024-01-26_19-04-31_UTC.jpg,posts\2024-01-26_19-04-31_UTC.mp4,2024-01-26 19:04:31,GraphVideo,"['sunscreen', 'skintips', 'skincare101', 'beginnerskincare', 'spf', 'acneprone', 'acne', 'doublecleansing', 'oilcleansing', 'skincare', 'skincareroutine', 'cleanser', 'skintok']",True
hydrationceo,C2iMUrdpSa0,,"Vampire millennials forever 🧛‍♀️💕 

#twilightcolourpop #twilight #colourpop #makeupreview #vampires #colourpopreview #makeuptutorial #makeupblogger #makeupreels #vampiremakeup #teamjacob",3888,posts\2024-01-25_19-03-20_UTC.jpg,posts\2024-01-25_19-03-20_UTC.mp4,2024-01-25 19:03:20,GraphVideo,"['twilightcolourpop', 'twilight', 'colourpop', 'makeupreview', 'vampires', 'colourpopreview', 'makeuptutorial', 'makeupblogger', 'makeupreels', 'vampiremakeup', 'teamjacob']",True
hydrationceo,C2fQ86wLRwr,,"It’s the drugstore liquid liner showdown 🤠 What affordable product do you want me to stress test next? 

#affordablemakeup #drugstoremakeup #drugstoreliquidliner #liquidliner #drugstoreeyeliner #eyeliner #eyelinertips #makeuptok #beautytok #lorealparis #revloncolorstay #nyxepicinkliner",15793,posts\2024-01-24_15-46-35_UTC.jpg,posts\2024-01-24_15-46-35_UTC.mp4,2024-01-24 15:46:35,GraphVideo,"['affordablemakeup', 'drugstoremakeup', 'drugstoreliquidliner', 'liquidliner', 'drugstoreeyeliner', 'eyeliner', 'eyelinertips', 'makeuptok', 'beautytok', 'lorealparis', 'revloncolorstay', 'nyxepicinkliner']",True
hydrationceo,C2dyNTJrUtO,,"persona blush in jam is forever an icon, a legend, the undefeated reigning QUEEN of blushes and I will never forget her again (ok maybe I will but then just remind me that the perfect blush exists and it is HER) 💕 

#blush #blushtrend #berryblush #pinkblush #makeupreview #persona #douyinblush #makeuptok #hotpink #pinkmakeup",8084,posts\2024-01-24_01-58-01_UTC.jpg,posts\2024-01-24_01-58-01_UTC.mp4,2024-01-24 01:58:01,GraphVideo,"['blush', 'blushtrend', 'berryblush', 'pinkblush', 'makeupreview', 'persona', 'douyinblush', 'makeuptok', 'hotpink', 'pinkmakeup']",True
hydrationceo,C2chbpDrN_V,,"Diet coke til I 💀

#tiktokmeme #tiktok #meme #memes #funnyvideos #dietcoke #humor",2774,posts\2024-01-23_14-12-08_UTC.jpg,posts\2024-01-23_14-12-08_UTC.mp4,2024-01-23 14:12:08,GraphVideo,"['tiktokmeme', 'tiktok', 'meme', 'memes', 'funnyvideos', 'dietcoke', 'humor']",True
hydrationceo,C2bPi4CLQgj,,"I seriously went from 🍅 to 🥰 with @cocokind ‘s chlorophyll discoloration serum #cocokindpartner 

#darkspots #viralskincare #newskincare #ultaskincare #unevenskin #skincare #irritatedskin #rosacea #skincareroutine #skincaretips #skincare101 #discoloration",1102,posts\2024-01-23_02-17-05_UTC.jpg,posts\2024-01-23_02-17-05_UTC.mp4,2024-01-23 02:17:05,GraphVideo,"['cocokindpartner', 'darkspots', 'viralskincare', 'newskincare', 'ultaskincare', 'unevenskin', 'skincare', 'irritatedskin', 'rosacea', 'skincareroutine', 'skincaretips', 'skincare101', 'discoloration']",True
hydrationceo,C2afhj1puYz,,"Cleansing balm reviewwwwwwwww ✨ 

#cleansingbalm #cleansingbalms #oilcleansing #doublecleansing #doublecleanse #clinique #byoma #versed #farmacy #goodmolecules #skincare #silentreviews #skintok",8137,posts\2024-01-22_19-17-07_UTC.jpg,posts\2024-01-22_19-17-07_UTC.mp4,2024-01-22 19:17:07,GraphVideo,"['cleansingbalm', 'cleansingbalms', 'oilcleansing', 'doublecleansing', 'doublecleanse', 'clinique', 'byoma', 'versed', 'farmacy', 'goodmolecules', 'skincare', 'silentreviews', 'skintok']",True
hydrationceo,C2XoqMSrOZs,,"This vanilla caramel cookie scent combo has everyone BARKING it is too good 😩 

@dove body scrub in ‘brown sugar & coconut butter’ 
@eosproducts body lotion in ‘vanilla cashmere’
@soldejaneiro 72 perfume mist 

#vanillaperfume #vanillagirl #sugarcookies #gourmondscents #perfume #cookieperfume #soldejaniero #dove #eos #eosvanillacashmere #soldejaniero71 #smellgood",28895,posts\2024-01-21_16-40-23_UTC.jpg,posts\2024-01-21_16-40-23_UTC.mp4,2024-01-21 16:40:23,GraphVideo,"['vanillaperfume', 'vanillagirl', 'sugarcookies', 'gourmondscents', 'perfume', 'cookieperfume', 'soldejaniero', 'dove', 'eos', 'eosvanillacashmere', 'soldejaniero71', 'smellgood']",True
